City,Latitude,Longitude,Max Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),Country,Date
Anadyr,64.75,177.48,-18.4,75,20,4.47,RU,1606865108
Agadez,19.75,10.25,67.33,24,12,7.43,NE,1606864830
Bubaque,11.28,-15.83,82.51,71,26,17.27,GW,1606865108
Saskylakh,71.92,114.08,18.61,97,100,3.89,RU,1606865108
Alofi,-19.06,-169.92,84.2,74,75,16.11,NU,1606865108
Verkhoyansk,67.54,133.38,-4.67,90,100,2.39,RU,1606865108
Tessalit,20.2,1.01,71.8,21,71,10.45,ML,1606865108
Durban,-29.86,31.03,68.0,88,90,6.93,ZA,1606865108
Ponta do Sol,32.67,-17.1,64.4,82,40,14.99,PT,1606865108
Pisco,-13.7,-76.22,68.0,77,0,20.8,PE,1606865108
Solone,48.21,34.87,30.2,86,90,11.18,UA,1606865108
Kapoeta,4.77,33.59,79.02,51,67,3.04,SS,1606865108
Tuktoyaktuk,69.45,-133.04,6.8,77,75,14.99,CA,1606865108
Ilulissat,69.22,-51.1,19.4,62,100,5.82,GL,1606865108
Narsaq,60.92,-46.05,17.35,76,0,13.96,GL,1606865109
Kruisfontein,-34.0,24.73,57.99,77,66,5.01,ZA,1606865109
Leshan,29.56,103.76,50.36,80,100,2.44,CN,1606865109
Kaiyuan,23.7,103.3,53.74,78,67,2.98,CN,1606865109
Westport,41.14,-73.36,44.01,64,63,1.01,US,1606865003
Nikolskoye,59.7,30.79,35.6,95,75,4.47,RU,1606865109
Monte Alegre,-2.01,-54.07,79.93,78,62,2.59,BR,1606865109
Salalah,17.02,54.09,78.8,78,40,2.24,OM,1606865109
Bluff,-46.6,168.33,68.0,34,78,13.0,NZ,1606865109
Hilo,19.73,-155.09,80.6,61,20,8.05,US,1606865109
Avarua,-21.21,-159.78,82.4,78,10,16.11,CK,1606865109
Inyonga,-6.72,32.07,65.93,88,72,0.22,TZ,1606865109
Te Anau,-45.42,167.72,58.78,50,40,14.16,NZ,1606865109
Todos Santos,23.45,-110.22,75.0,59,0,3.0,MX,1606865109
Ordu,40.91,37.68,50.0,81,75,2.46,TR,1606865110
Río Gallegos,-51.62,-69.22,53.6,23,40,42.5,AR,1606864883
Nhulunbuy,-12.23,136.77,82.4,74,75,12.75,AU,1606865110
Sabha,27.04,14.43,51.93,56,0,4.18,LY,1606865110
Bethel,41.37,-73.41,42.8,56,75,9.17,US,1606865110
Souillac,-20.52,57.52,75.2,94,75,10.29,MU,1606865110
Damietta,31.42,31.81,62.6,77,0,5.82,EG,1606865110
Bara,10.37,10.73,72.91,20,0,8.77,NG,1606865110
Saldanha,-33.01,17.94,59.0,62,0,12.75,ZA,1606865110
Kushima,31.46,131.23,48.2,76,75,6.93,JP,1606865110
Ayagoz,47.97,80.44,0.37,90,9,13.65,KZ,1606865110
Selfoss,63.93,-21.0,35.01,77,100,8.01,IS,1606865110
Honiara,-9.43,159.95,86.18,65,96,8.55,SB,1606865110
Hirara,24.8,125.28,73.4,88,75,18.34,JP,1606865110
Kirakira,-10.45,161.92,82.6,78,94,12.35,SB,1606865110
Saint George,37.1,-113.58,59.0,15,1,8.05,US,1606865092
Buchanan,5.88,-10.05,78.8,94,75,6.29,LR,1606865110
Brighton,50.83,-0.14,39.99,97,38,1.99,GB,1606864941
Katsuura,35.13,140.3,51.01,71,75,10.29,JP,1606865111
Erzin,36.96,36.2,55.0,75,68,8.01,TR,1606865111
Lebu,-37.62,-73.65,53.87,75,5,18.81,CL,1606865111
Atuona,-9.8,-139.03,78.44,76,3,16.06,PF,1606864944
Malinovskiy,61.2,62.84,17.29,93,4,7.38,RU,1606865111
Thompson,55.74,-97.86,15.8,92,40,4.7,CA,1606865111
Pevek,69.7,170.31,-10.05,88,34,7.49,RU,1606865111
Halifax,44.65,-63.57,59.0,82,100,18.34,CA,1606864927
Esperance,-33.87,121.9,59.0,62,66,12.75,AU,1606865111
Mandalgovi,45.76,106.27,0.45,86,74,8.28,MN,1606865111
Balarāmpur,23.12,86.22,60.53,46,0,2.89,IN,1606865111
Tsubata,36.67,136.73,44.01,93,75,1.12,JP,1606865111
Afyonkarahisar,38.75,30.67,36.45,88,1,2.86,TR,1606865068
Port Alfred,-33.59,26.89,61.63,70,75,20.36,ZA,1606865111
Chokurdakh,70.63,147.92,-0.9,93,99,12.06,RU,1606865111
Aykhal,66.0,111.5,14.0,92,90,11.18,RU,1606865111
Araioses,-2.89,-41.9,79.86,82,76,11.41,BR,1606865111
Yerbogachën,61.28,108.01,4.44,92,100,12.93,RU,1606865111
Alugan,12.22,125.48,79.05,87,90,4.59,PH,1606865111
Naze,28.37,129.48,71.6,73,75,13.87,JP,1606865111
New Norfolk,-42.78,147.06,55.99,63,14,4.0,AU,1606865112
Toronto,43.7,-79.42,32.0,97,99,14.97,CA,1606864712
São Filipe,14.9,-24.5,76.3,71,100,8.37,CV,1606865112
Khatanga,71.97,102.5,30.43,98,100,24.38,RU,1606865112
Kahului,20.89,-156.47,82.4,54,40,13.87,US,1606865112
Belaya Gora,68.53,146.42,-1.35,89,100,8.23,RU,1606865112
Nukus,42.45,59.61,12.2,78,0,6.93,UZ,1606865112
Yellowknife,62.46,-114.35,25.0,100,75,19.46,CA,1606864965
Korčula,42.96,17.14,37.4,69,40,3.36,HR,1606865112
Upernavik,72.79,-56.15,10.06,89,99,10.02,GL,1606865112
Constitución,-35.33,-72.42,58.28,66,73,19.86,CL,1606864906
Ndélé,8.41,20.65,70.95,22,13,4.65,CF,1606865112
Sitka,57.05,-135.33,53.6,81,90,32.21,US,1606865112
Suntar,62.14,117.63,6.17,93,100,8.08,RU,1606865112
Lüderitz,-26.65,15.16,64.4,55,0,20.8,NA,1606865112
Mozhga,56.44,52.23,10.13,95,0,4.27,RU,1606865112
Ban Nahin,18.24,104.21,61.12,81,68,5.01,LA,1606865112
Clyde River,70.47,-68.59,14.0,78,75,18.34,CA,1606865113
Chirnogeni,43.9,28.23,32.0,97,90,13.87,RO,1606865113
Kavaratti,10.57,72.64,81.86,78,98,12.39,IN,1606865113
Arraias,-12.93,-46.94,74.32,55,100,3.09,BR,1606865113
Sioux Lookout,50.1,-91.92,24.8,73,40,4.7,CA,1606865113
Malindi,-3.22,40.12,79.29,86,91,9.91,KE,1606865113
Clovis,36.83,-119.7,64.99,33,1,3.36,US,1606865113
Kichera,55.94,110.1,5.9,86,93,2.26,RU,1606865113
Fare,-16.7,-151.02,81.32,76,2,16.17,PF,1606865113
Kapit,2.02,112.93,74.73,94,97,1.05,MY,1606865113
Riachão,-7.36,-46.62,79.7,57,66,3.13,BR,1606865113
Sisimiut,66.94,-53.67,17.47,89,100,2.68,GL,1606865113
Saint Paul Harbor,57.79,-152.41,44.6,81,90,13.42,US,1606865037
Nanortalik,60.14,-45.24,27.73,83,18,35.7,GL,1606865113
Altamirano,16.88,-92.15,56.59,100,86,2.62,MX,1606865113
Arraial do Cabo,-22.97,-42.03,78.8,94,75,3.36,BR,1606864896
Bandarbeyla,9.49,50.81,76.21,80,75,12.44,SO,1606865113
Takoradze,4.88,-1.76,78.85,85,2,8.1,GH,1606865113
Lagoa,39.05,-27.98,62.15,80,84,33.93,PT,1606865113
Hobyo,5.35,48.53,78.64,76,46,12.46,SO,1606865113
Iberia,29.95,-91.75,50.0,57,1,5.82,US,1606865114
Tiksi,71.69,128.87,-2.83,88,100,25.68,RU,1606865114
Vung Tau,10.35,107.08,78.4,76,43,21.54,VN,1606865114
Carnarvon,-24.87,113.63,71.6,56,0,13.87,AU,1606865114
Javānrūd,34.8,46.52,39.16,77,3,3.31,IR,1606865114
Shingū,33.73,135.98,50.0,61,20,9.17,JP,1606865114
Tanout,14.97,8.89,72.18,21,19,11.05,NE,1606865114
Lakes Entrance,-37.88,147.98,63.0,46,8,4.0,AU,1606865114
Dikson,73.51,80.55,30.97,99,100,25.34,RU,1606865114
Nipawin,53.37,-104.0,35.6,74,90,10.29,CA,1606865114
Peleduy,59.63,112.74,11.1,93,100,12.64,RU,1606865114
Nyurba,63.28,118.33,4.24,93,100,8.05,RU,1606865114
Camaná,-16.62,-72.71,66.87,78,84,5.26,PE,1606865114
Wuzhou,23.48,111.32,52.45,71,51,4.45,CN,1606865114
Mezhdurechenskiy,59.6,65.93,13.84,94,24,7.85,RU,1606865114
Severo-Yeniseyskiy,60.37,93.04,-8.7,91,83,3.65,RU,1606865115
Husavik,66.04,-17.34,35.6,80,90,29.97,IS,1606865115
Teya,60.38,92.63,-5.15,88,86,3.78,RU,1606865115
Oranjemund,-28.55,16.43,59.68,78,0,20.0,NA,1606865115
Maragogi,-9.01,-35.22,77.18,80,27,7.29,BR,1606864945
Butaritari,3.07,172.79,81.43,79,98,10.63,KI,1606865115
Malakal,9.53,31.66,75.79,23,15,6.8,SS,1606865115
Pangoa,-12.12,-73.0,73.85,88,100,1.32,PE,1606865115
Samarai,-10.62,150.67,82.98,78,66,9.95,PG,1606865115
Bredasdorp,-34.53,20.04,50.0,81,81,5.82,ZA,1606865115
Boa Esperança do Sul,-21.99,-48.39,77.45,73,77,5.39,BR,1606865115
Voinka,45.87,33.99,45.36,83,98,7.09,UA,1606865115
Mar del Plata,-38.0,-57.56,73.4,56,20,5.82,AR,1606865115
Armidale,-30.52,151.65,84.99,55,10,4.0,AU,1606865048
Cherskiy,68.75,161.3,-16.26,88,42,7.05,RU,1606865115
San Andrés,12.58,-81.7,80.6,88,75,11.41,CO,1606865115
Ayan,56.45,138.17,7.65,83,99,15.5,RU,1606865115
Yenagoa,4.92,6.26,77.56,91,8,5.66,NG,1606865115
Rio Grande,-32.03,-52.1,70.0,77,24,4.0,BR,1606865115
João Neiva,-19.76,-40.39,79.0,78,0,10.29,BR,1606865115
Qasigiannguit,68.82,-51.19,19.4,62,90,5.82,GL,1606865116
Agropoli,40.35,15.0,53.01,80,95,1.01,IT,1606865116
Martapura,-3.42,114.85,77.0,94,20,4.7,ID,1606865116
Puerto Berrío,6.49,-74.4,78.94,83,96,1.63,CO,1606864939
Smithers,54.78,-127.17,41.0,65,75,9.17,CA,1606865059
Nara,34.69,135.8,46.99,81,40,4.7,JP,1606865116
Strezhevoy,60.73,77.59,1.4,84,0,4.47,RU,1606865116
Íos,36.73,25.28,55.99,71,0,13.87,GR,1606865116
Mount Isa,-20.73,139.5,95.0,23,61,11.41,AU,1606865116
Klaksvík,62.23,-6.59,44.6,81,54,12.75,FO,1606865116
Bambous Virieux,-20.34,57.76,75.99,94,75,10.29,MU,1606865116
Tagusao,9.19,117.81,80.37,80,100,8.57,PH,1606865116
Kenitra,34.26,-6.58,55.4,87,0,4.7,MA,1606865116
Labuhan,-6.88,112.21,78.19,86,90,4.47,ID,1606865116
Fuyu,45.18,124.82,1.15,91,0,8.1,CN,1606865116
Thetford Mines,46.09,-71.3,59.0,77,90,13.87,CA,1606865116
Lubango,-14.92,13.49,61.29,78,74,4.68,AO,1606865116
Umluj,25.02,37.27,70.27,54,0,4.36,SA,1606865116
Arrondissement de Blois,47.58,1.33,41.0,93,40,3.36,FR,1606865116
Acajutla,13.59,-89.83,78.8,50,0,3.36,SV,1606865117
Plettenberg Bay,-34.05,23.37,58.71,71,59,9.78,ZA,1606865117
Iqaluit,63.75,-68.51,8.6,71,75,8.05,CA,1606865117
Avera,33.19,-82.53,39.2,55,1,5.82,US,1606865117
Mopti,14.67,-4.0,80.98,16,1,9.44,ML,1606865117
Leshukonskoye,64.9,45.76,29.21,95,100,10.67,RU,1606865117
Murgab,37.5,61.97,37.4,69,90,4.29,TM,1606865117
Aklavik,68.22,-135.01,-2.2,77,40,4.7,CA,1606865117
Balakhninskiy,58.01,114.28,9.37,90,100,6.49,RU,1606865117
Tuy Hoa,13.08,109.3,75.0,86,77,14.63,VN,1606865117
Kontagora,10.4,5.47,73.2,20,0,4.36,NG,1606865117
Saint Anthony,45.02,-93.22,33.01,54,1,3.36,US,1606865117
Presidencia Roque Sáenz Peña,-26.79,-60.44,78.89,73,48,6.33,AR,1606865117
Spornoye,50.84,37.29,24.8,85,75,15.66,RU,1606865117
Tilichiki,60.47,166.1,-9.13,94,100,11.3,RU,1606865117
Nazas,25.23,-104.13,70.23,24,0,4.72,MX,1606865117
Okhotsk,59.38,143.3,-10.21,85,0,16.87,RU,1606865117
Mount Gambier,-37.83,140.77,57.2,67,75,12.75,AU,1606865117
Laguna,38.42,-121.42,63.0,32,1,5.82,US,1606865118
Sorong,-0.88,131.25,79.18,80,100,4.52,ID,1606865118
Sydney,-33.87,151.21,71.01,68,75,18.34,AU,1606864881
Mt. Pleasant,32.79,-79.86,44.01,60,20,11.25,US,1606864948
Eureka,40.8,-124.16,57.0,81,20,3.36,US,1606865118
Ukiah,39.15,-123.21,68.0,39,1,4.7,US,1606864940
Flinders,-34.58,150.86,70.0,74,86,5.01,AU,1606865118
Richards Bay,-28.78,32.04,68.2,81,99,14.79,ZA,1606865118
Seoul,37.57,126.98,35.6,43,90,2.44,KR,1606865061
Oddur,4.12,43.89,71.46,83,16,14.56,SO,1606865118
Zhezkazgan,47.8,67.71,3.49,90,11,11.41,KZ,1606865118
La Rioja,42.25,-2.5,50.0,76,90,11.41,ES,1606865118
Urozhaynoye,44.79,44.92,38.84,87,100,14.16,RU,1606865118
Cap Malheureux,-19.98,57.61,75.99,85,1,1.99,MU,1606865118
Omboué,-1.57,9.26,75.83,94,100,8.99,GA,1606865118
Alice Springs,-23.7,133.88,75.99,27,0,17.22,AU,1606865118
Airai,-8.93,125.41,68.49,84,58,0.43,TL,1606865118
Maningrida,-12.07,134.27,87.33,61,100,4.59,AU,1606865118
Tuatapere,-46.13,167.68,68.0,34,66,13.0,NZ,1606865118
Constantine,36.37,6.61,46.4,93,75,4.7,DZ,1606865118
Jāmai,22.2,78.58,59.13,37,0,1.77,IN,1606865119
Suzun,53.78,82.31,3.67,92,0,2.89,RU,1606865119
Perth,-31.93,115.83,64.0,55,0,11.41,AU,1606865094
Pankrushikha,53.83,80.34,0.86,92,0,4.23,RU,1606865119
Koumac,-20.57,164.28,80.31,53,0,4.05,NC,1606865119
Yaransk,57.3,47.89,14.83,94,100,11.07,RU,1606865119
Henties Bay,-22.12,14.28,57.0,85,0,7.29,NA,1606865119
Nemuro,43.32,145.57,29.7,88,3,11.83,JP,1606865119
Enniscorthy,52.5,-6.56,48.99,86,48,5.01,IE,1606865119
Riorges,46.04,4.05,44.01,93,90,9.17,FR,1606865119
Aksarka,66.56,67.8,17.56,94,59,19.13,RU,1606865119
Mitsamiouli,-11.38,43.28,79.54,80,86,11.7,KM,1606865119
Yulara,-25.24,130.99,77.0,27,100,23.04,AU,1606865119
Grand Gaube,-20.01,57.66,75.99,85,3,1.99,MU,1606865119
Dumas,35.87,-101.97,51.01,19,1,19.46,US,1606865119
Port-Gentil,-0.72,8.78,75.2,94,40,3.36,GA,1606865119
Caucayá,-0.19,-74.78,76.53,95,99,1.92,CO,1606865119
Hurghada,27.26,33.81,62.6,27,0,11.41,EG,1606865119
Bengkulu,-3.8,102.27,74.3,74,93,3.65,ID,1606865119
Matane,48.83,-67.52,59.0,100,100,14.99,CA,1606865031
Lakatoro,-16.1,167.42,82.4,74,75,3.36,VU,1606865120
Anastasiyevskaya,45.22,37.89,37.4,86,60,17.9,RU,1606865120
Kavieng,-2.57,150.8,84.07,71,100,9.71,PG,1606865120
Kotido,2.98,34.13,74.71,45,17,12.21,UG,1606865120
Touros,-5.2,-35.46,80.6,78,40,10.29,BR,1606865120
Coos Bay,43.37,-124.22,51.8,62,1,9.17,US,1606865060
Sungai Penuh,-2.08,101.38,62.87,76,25,2.57,ID,1606865120
Saint-Philippe,-21.36,55.77,77.0,78,75,3.36,RE,1606865120
Kirkwood,38.58,-90.41,39.0,44,1,3.36,US,1606865120
Puerto Vallarta,20.62,-105.23,78.8,78,90,5.82,MX,1606865054
Coquimbo,-29.95,-71.34,62.6,67,20,11.41,CL,1606864875
Lompoc,34.64,-120.46,69.8,59,1,9.17,US,1606864998
Pangnirtung,66.15,-65.71,8.6,65,40,3.36,CA,1606865120
Exaplatanos,40.98,22.12,41.0,99,16,1.01,GR,1606865120
Saint-Pierre,-21.34,55.48,77.0,78,75,3.36,RE,1606865120
Puerto del Rosario,28.5,-13.86,66.2,77,0,9.17,ES,1606865120
Steinbach am Taunus,50.17,8.57,35.6,100,75,5.82,DE,1606865120
Mandera,3.94,41.87,83.43,46,22,11.45,KE,1606865121
Ribas do Rio Pardo,-20.44,-53.76,70.81,92,100,3.89,BR,1606865121
Baykit,61.67,96.37,-7.44,86,70,2.66,RU,1606865121
Havre-St-Pierre,50.23,-63.6,42.8,100,90,11.41,CA,1606865121
Bonga,7.28,36.23,57.92,88,95,2.06,ET,1606865121
Asău,46.43,26.4,28.4,86,54,4.7,RO,1606865121
Pithoro,25.52,69.38,65.88,24,56,5.26,PK,1606865121
Porto Santo,33.07,-16.34,64.4,82,40,16.11,PT,1606865121
Vallenar,-28.57,-70.76,69.67,49,0,6.22,CL,1606865121
Snåase,64.25,12.38,26.1,94,52,4.7,NO,1606865121
Daru,-9.08,143.21,83.73,80,100,10.69,PG,1606865121
Cabo San Lucas,22.89,-109.91,75.99,56,5,4.7,MX,1606865121
Alpena,45.06,-83.43,32.0,81,1,16.11,US,1606864846
Portland,45.52,-122.68,50.0,70,1,5.82,US,1606864606
Gambiran,-6.8,111.5,75.06,89,88,2.21,ID,1606865121
Road Town,18.42,-64.62,78.01,78,20,1.12,VG,1606865121
San Quintín,30.48,-115.95,68.63,40,0,8.86,MX,1606865121
Ancud,-41.87,-73.82,55.0,93,90,10.29,CL,1606865121
Nangomba,-10.9,38.5,75.43,82,55,7.14,TZ,1606865121
Mulanje,-16.03,35.5,75.16,65,94,4.81,MW,1606865121
Codrington,-38.27,141.97,56.7,58,44,14.88,AU,1606865121
Chifeng,42.27,118.96,5.52,84,15,4.97,CN,1606864837
Ystad,55.43,13.82,39.2,80,90,4.7,SE,1606865122
Valparaíso,-33.04,-71.63,61.0,76,20,3.36,CL,1606865122
Conway,35.09,-92.44,46.99,45,1,6.93,US,1606864849
Santa Helena,-2.23,-45.3,75.25,95,87,2.42,BR,1606865122
Goderich,43.75,-81.72,32.0,94,100,19.46,CA,1606865122
Santoña,43.44,-3.46,55.99,76,90,8.05,ES,1606865122
Port Hardy,50.7,-127.42,44.6,75,75,6.93,CA,1606865122
Leiyang,26.4,112.86,45.7,80,100,6.22,CN,1606865122
Abhā,18.22,42.51,55.4,87,0,4.5,SA,1606865122
Labuan,5.28,115.24,77.0,94,20,5.99,MY,1606865122
Miyang,24.4,103.44,49.93,85,77,3.44,CN,1606865122
College,64.86,-147.8,35.6,79,75,6.93,US,1606865122
Atar,20.52,-13.05,76.77,23,100,4.16,MR,1606865122
Namwala,-15.75,26.44,70.9,83,34,2.04,ZM,1606865122
Douglas,41.3,-96.17,44.6,41,1,6.93,US,1606865122
Kununurra,-15.77,128.73,77.0,100,90,11.41,AU,1606865122
Port Lincoln,-34.73,135.87,57.33,58,96,7.76,AU,1606865122
Isangel,-19.55,169.27,84.2,62,75,9.17,VU,1606865122
Mandiana,10.63,-8.68,75.96,28,13,2.91,GN,1606865123
Padang,-0.95,100.35,75.67,67,6,4.29,ID,1606865123
Plouzané,48.38,-4.62,46.4,75,0,4.7,FR,1606865123
Mormugao,15.4,73.8,77.0,73,20,6.93,IN,1606865123
Altay,47.87,88.12,11.91,65,0,4.43,CN,1606865123
Saint-Joseph,-21.37,55.62,77.0,78,75,3.36,RE,1606865123
Kosh-Agach,50.0,88.67,-16.28,83,19,0.92,RU,1606865123
Atambua,-9.11,124.89,80.89,69,26,0.85,ID,1606865123
Calabar,4.95,8.32,77.29,90,48,1.79,NG,1606865123
Mae Sai,20.43,99.88,57.2,100,57,2.24,TH,1606865123
Monte Alegre de Minas,-18.87,-48.88,80.6,47,20,6.93,BR,1606865123
Raton,36.9,-104.44,30.2,80,90,25.28,US,1606865123
Cidreira,-30.18,-50.21,69.21,78,37,17.9,BR,1606865123
Amuntai,-2.42,115.25,75.36,95,100,0.67,ID,1606865123
Chingirlau,51.09,54.08,-0.33,92,0,9.46,KZ,1606865123
Manakara,-22.13,48.02,75.45,76,15,10.25,MG,1606865123
Togur,58.36,82.83,4.41,95,95,5.03,RU,1606865123
Kyzyl-Suu,42.34,78.01,26.62,80,99,5.79,KG,1606865123
Maţāy,28.42,30.78,56.53,71,64,3.49,EG,1606865123
Langsa,4.47,97.97,75.0,95,100,2.55,ID,1606865124
Talavera de la Reina,39.96,-4.83,45.19,61,70,1.95,ES,1606865124
Greenwood,34.17,-82.12,39.0,47,1,8.05,US,1606865124
Chinsali,-10.54,32.08,65.62,88,100,2.59,ZM,1606865124
Vammala,61.33,22.9,36.0,93,90,5.82,FI,1606865124
Kiunga,-6.12,141.29,81.39,81,87,0.22,PG,1606865124
Cockburn Town,21.46,-71.14,79.0,64,14,7.72,TC,1606865124
Ozernovskiy,51.5,156.52,22.73,93,36,7.81,RU,1606865124
Ugoofaaru,5.67,73.0,82.27,76,100,8.23,MV,1606865124
Chui,-33.7,-53.46,63.27,78,86,9.69,UY,1606865124
Borogontsy,62.67,131.17,-17.97,88,100,5.35,RU,1606865124
Mounds View,45.1,-93.21,33.01,54,40,4.7,US,1606864961
Saint-Augustin,51.23,-58.65,38.26,96,100,7.09,CA,1606865124
Novobirilyussy,56.95,90.67,6.67,94,100,6.35,RU,1606865124
Qandala,11.47,49.87,77.22,75,14,4.14,SO,1606865124
Lorengau,-2.02,147.27,84.61,73,81,7.31,PG,1606865124
Mozarlândia,-14.74,-50.57,83.46,45,65,5.86,BR,1606865124
Srednekolymsk,67.45,153.68,-14.31,83,20,3.58,RU,1606865124
Tiznit Province,29.58,-9.5,63.01,37,0,8.05,MA,1606865125
Straumen,63.87,11.3,43.0,64,0,21.92,NO,1606865125
Bay Roberts,47.6,-53.26,42.01,86,90,25.28,CA,1606865125
Aktau,43.65,51.2,28.4,68,90,20.13,KZ,1606865125
Hastings,50.86,0.57,42.01,10,19,28.99,GB,1606865125
Taiyuan,37.87,112.56,30.2,100,90,4.47,CN,1606865125
Tutóia,-2.76,-42.27,79.83,84,100,13.0,BR,1606865125
Ushtobe,45.25,77.98,13.6,87,86,7.07,KZ,1606865125
Inuvik,68.35,-133.72,3.2,84,100,3.36,CA,1606865125
Preobrazheniye,42.9,133.91,20.77,82,0,5.61,RU,1606865125
Nichinan,31.6,131.37,48.2,76,75,6.93,JP,1606865125
Shamary,57.34,58.22,8.4,89,2,2.39,RU,1606865125
Chapadinha,-3.74,-43.36,75.49,91,96,3.67,BR,1606865125
Eyl,7.98,49.82,76.41,81,8,12.55,SO,1606865125
Briançon,44.9,6.65,36.0,86,88,5.37,FR,1606865125
Atasū,48.68,71.64,4.87,87,9,9.89,KZ,1606865125
Niono,14.25,-5.99,80.89,17,0,9.46,ML,1606865125
Kitimat,54.05,-128.65,42.01,92,100,2.48,CA,1606865125
Magadan,59.57,150.8,10.76,91,55,4.23,RU,1606865125
Beringovskiy,63.05,179.32,-0.65,93,97,9.78,RU,1606865125
Arlit,18.74,7.39,76.19,19,5,4.94,NE,1606865126
Katobu,-4.94,122.53,80.04,83,100,1.88,ID,1606865126
Guerrero Negro,27.98,-114.06,73.45,22,0,10.67,MX,1606865126
Wagar,16.15,36.2,68.31,75,0,10.07,SD,1606865126
Boa Vista,2.82,-60.67,82.4,74,75,3.36,BR,1606864908
Sabzawār,36.21,57.68,48.49,60,36,0.34,IR,1606865126
Namatanai,-3.67,152.43,84.36,64,86,5.19,PG,1606865126
